,Datum,Song,Interpret
386,"04.12.2021,13.06 Uhr",Cold heart (PNAU Remix),Elton John & Dua Lipa
387,"04.12.2021,13.09 Uhr",There’s nothing holdin’ me back,Shawn Mendes
388,"04.12.2021,13.23 Uhr",Left outside alone,Anastacia
389,"04.12.2021,13.36 Uhr",Jolene,The BossHoss & The Common Linnets
390,"04.12.2021,13.45 Uhr",Sitting down here,Lene Marlin
391,"04.12.2021,13.53 Uhr",Behind blue eyes,Limp Bizkit
392,"04.12.2021,14.09 Uhr",Prayer in C,Lilly Wood & The Prick feat. Robin Schulz
393,"04.12.2021,14.23 Uhr",More than words,Extreme
394,"04.12.2021,14.27 Uhr",Footprints,Tom Gregory
395,"04.12.2021,14.44 Uhr",All i know so far,Pink
396,"04.12.2021,14.53 Uhr",Alright,Alle Farben feat. KIDDO
397,"04.12.2021,14.55 Uhr",Into the great wide open,Tom Petty
